Time_s,Hour,User_ID,Lat,Lon,Demand_Mbps,TN_Eval_BS,TN_Eval_MHz,TN_Reason,NTN_Eval_Beam,NTN_Eval_MHz,NTN_Reason,Final_State
0,0.0,0.0,240,43.0986,-81.0549,0.12,BS_523,19.74,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,242,44.2718,-76.3607,2.21,BS_614,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,243,43.4913,-79.7458,0.88,BS_512,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,244,45.4679,-75.442,3.67,BS_668,19.68,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,245,45.0906,-75.7143,3.71,BS_690,19.4,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,246,43.8014,-79.5067,0.45,BS_650,19.89,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,247,43.794,-79.3106,0.41,BS_473,19.51,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,249,43.1904,-80.0353,0.98,BS_587,19.65,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,250,42.9978,-79.9321,0.54,BS_374,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,251,46.8486,-80.9534,0.64,BS_677,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,252,43.8266,-79.4119,0.6,BS_94,19.83,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,253,43.0257,-81.1023,0.5,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-048-007,300.0,Fully Served,LEO
0,0.0,0.0,254,43.1089,-79.8648,0.19,BS_383,19.98,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,255,45.244,-75.7057,2.63,BS_38,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,256,43.8467,-79.4136,2.26,BS_94,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,257,42.9706,-81.2135,3.31,BS_725,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,258,45.2293,-75.7048,0.58,BS_38,19.71,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,259,45.3149,-75.4444,0.31,BS_658,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,260,44.309,-76.5616,0.34,BS_263,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,261,46.2906,-81.0192,3.38,BS_121,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,262,45.2237,-75.3998,0.16,BS_563,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,263,45.3186,-75.9257,2.17,BS_462,20.0,Fully Served,None,0.0,N/A,TN
